Variety,Saint Paul,Le Center,Waseca,De Graff,Lamberton,Morris,Fergus Falls,Perley
Advance,,,,,,,,
Albany,73.5,,,,36.4,54.5,72.9,
Breakaway,,,,,,,,
Breaker,50.3,,,,30.3,52.5,64.2,
Brennan,55.2,,,,31.5,40.9,63.7,
Brick,46.6,,,,31.1,48.9,67,
Briggs,54.7,,,,38.6,54.5,68.4,
Cromwell,60.2,,,,31.1,53.7,66,
Edge,51.6,,,,28.2,44.5,59.3,
Faller,53.9,,,,35.3,55.7,74.7,
Forefront,,,,,,,,
Glenn,50.8,,,,29.5,43.3,67.8,
Jenna,62.5,,,,33.8,55.4,71.2,
Knudson,67.5,,,,34.1,56.7,71.4,
Marshall,41,,,,24.4,36.9,48.8,
Norden,,,,,,,,
Powerplay,,,,,,,,
Prosper,58.7,,,,33.2,53.1,75,
RB07,54.9,,,,31,48.5,63.1,
Rollag,37.3,,,,29.1,44.1,63.6,
Rollag (1.3x),,,,,,,,
SY Soren,48.6,,,,35.2,46.8,66,
Sabin,66.2,,,,31.9,50.1,64.8,
Samson,65.9,,,,33.4,52,73.3,
Select,59.1,,,,39.5,56.4,70.4,
Vantage,58,,,,28.5,47.2,62.4,
Velva,55.6,,,,31.8,47.1,66.2,
WB-Digger,46.9,,,,31.5,50.2,68.3,
WB-Mayville,52.2,,,,31.6,48,65,
